"","season","player_id","player","player_first_name","player_last_name","position","snaps","first_season_in_league","year_in_league","season_count","franchise_id","team","waa"
"1",2020,130313,"George Qualls Jr.","George","Qualls Jr.","WR",261,2020,1,0,102,"Akron Zips",-0.009
"2",2020,84112,"Geordon Porter","Geordon","Porter","WR",126,2018,3,2,110,"Arizona State Sun Devils",0
"3",2020,42151,"Brandon Bowling","Brandon","Bowling","WR",656,2016,5,4,113,"Arkansas State Red Wolves",-0.043
"4",2020,123555,"Marquez Bell","Marquez","Bell","WR",4,2020,1,0,138,"Cincinnati Bearcats",0
"5",2020,83810,"Dimitri Stanley","Dimitri","Stanley","WR",302,2018,3,2,143,"Colorado Buffaloes",0.048
"6",2020,131692,"Brenden Rice","Brenden","Rice","WR",174,2020,1,0,143,"Colorado Buffaloes",-0.023
"7",2020,61222,"Damond Philyaw-Johnson","Damond","Philyaw-Johnson","WR",169,2017,4,3,154,"Duke Blue Devils",-0.052
"8",2020,77997,"Jake Bobo","Jake","Bobo","WR",550,2018,3,2,154,"Duke Blue Devils",0.029
"9",2020,97402,"Jamal Glaspie","Jamal","Glaspie","WR",46,2019,2,1,169,"Fresno State Bulldogs",0.001
"10",2020,38547,"Demetris Robertson","Demetris","Robertson","WR",151,2016,5,4,173,"Georgia Bulldogs",0.008
"11",2020,97164,"Ahmarean Brown","Ahmarean","Brown","WR",325,2019,2,1,176,"Georgia Tech Yellow Jackets",-0.008
"12",2020,61289,"Jeremy Singleton","Jeremy","Singleton","WR",195,2017,4,3,182,"Houston Cougars",-0.039
"13",2020,55038,"Charlie Jones","Charlie","Jones","WR",32,2017,4,3,192,"Iowa Hawkeyes",0.082
"14",2020,100230,"Isaiah Wooden","Isaiah","Wooden","WR",33,2019,2,1,201,"Kent State Golden Flashes",0.011
"15",2020,42146,"Cee Jay Powell","Cee Jay","Powell","WR",310,2016,5,4,208,"Louisiana Tech Bulldogs",0.029
"16",2020,61395,"Corey Reed Jr.","Corey","Reed Jr.","WR",20,2017,3,2,210,"Louisville Cardinals",-0.006
"17",2020,99245,"Devonta Lee","Devonta","Lee","WR",9,2019,2,1,211,"LSU Tigers",-0.004
"18",2020,97867,"Broc Thompson","Broc","Thompson","WR",157,2019,2,1,214,"Marshall Thundering Herd",-0.001
"19",2020,84286,"Darryl Jones","Darryl","Jones","WR",164,2018,3,2,215,"Maryland Terrapins",-0.035
"20",2020,78051,"Jeremy Tate Jr","Jeremy","Tate Jr","WR",73,2018,3,2,218,"Memphis Tigers",-0.011
